Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2022-09-30,2022,3,SCHW,123597926900.44922,20762000000,,Charles Schwab Corporation
2022-12-31,2022,4,GS,102513375889.47656,47365000000,,Goldman Sachs
2022-12-31,2022,4,MS,127227727095.94728,53388000000,,Morgan Stanley
2022-12-31,2022,4,RJF,21129851612.854004,10851000000,,Raymond James Financial
2022-12-31,2022,4,SCHW,143582483126.64258,20762000000,,Charles Schwab Corporation
2023-03-31,2023,1,GS,98355351867.1172,39903000000,19.85,Goldman Sachs
2023-03-31,2023,1,MS,132447591584.47266,53611000000,29.57,Morgan Stanley
2023-03-31,2023,1,RJF,18528785141.75415,11468000000,,Raymond James Financial
2023-03-31,2023,1,SCHW,90610699694.45312,18837000000,75.7,Charles Schwab Corporation
2023-06-30,2023,2,GS,97719676420.89844,39903000000,19.85,Goldman Sachs
2023-06-30,2023,2,MS,129942866378.17384,53611000000,29.57,Morgan Stanley
2023-06-30,2023,2,RJF,20698552598.571777,11468000000,,Raymond James Financial
2023-06-30,2023,2,SCHW,98567384381.89452,18837000000,75.7,Charles Schwab Corporation
2023-09-30,2023,3,GS,98849170028.27344,39903000000,19.85,Goldman Sachs
2023-09-30,2023,3,MS,125416769755.85938,53611000000,29.57,Morgan Stanley
2023-09-30,2023,3,RJF,20116121798.706055,11468000000,,Raymond James Financial
2023-09-30,2023,3,SCHW,95838905892.3584,18837000000,75.7,Charles Schwab Corporation
2023-12-31,2023,4,GS,118818705906.96094,39903000000,19.85,Goldman Sachs
2023-12-31,2023,4,MS,144949720202.63672,53611000000,29.57,Morgan Stanley
2023-12-31,2023,4,RJF,22422951412.963867,11468000000,,Raymond James Financial
2023-12-31,2023,4,SCHW,120653569316.3789,18837000000,75.7,Charles Schwab Corporation
