Sector,Ranking
Restaurants,11:CMG;9:DRI;9:MCD;8:YUM;7:DPZ;4:SBUX
Financial Exchanges & Data,16:NDAQ;14:SPGI;13:CBOE;12:CME;10:ICE;10:MCO;10:MSCI;7:FDS;4:MKTX
Broadcasting,14:FOXA;13:FOX;8:WBD
Multi-Utilities,15:PCG;13:CNP;11:NEE;10:ED;10:DTE;10:SRE;9:NI;7:CMS;7:PNW;6:D;5:AEE;2:XEL
Managed Health Care,20:UNH;12:MOH;11:ELV;6:HUM;3:CNC
Diversified Support Services,18:CTAS;12:CPRT;5:LDOS
Regional Banks,17:FITB;13:RF;10:MTB;8:CFG;6:KEY;5:HBAN
IT Consulting & Other Services,15:IT;11:ACN;8:IBM;7:EPAM;4:CTSH
Life Sciences Tools & Services,14:DHR;13:TMO;11:WAT;10:MTD;9:CRL;8:IQV;7:A;4:TECH
Health Care REITs,13:WELL;10:VTR;7:DOC
Homebuilding,14:DHI;10:PHM;6:LEN;4:NVR
Property & Casualty Insurance,12:HIG;12:PGR;9:ALL;9:CB;7:ACGL;7:WRB;4:CINF;4:TRV
Multi-line Insurance,14:AIG;8:AIZ;7:L
Technology Hardware, Storage & Peripherals,13:SMCI;11:DELL;10:AAPL;7:HPQ;5:STX;4:NTAP;3:HPE;2:WDC
Oil & Gas Storage & Transportation,15:TRGP;7:OKE;6:KMI;6:WMB
Pharmaceuticals,21:LLY;10:PFE;9:ZTS;7:CTLT;7:MRK;5:BMY;5:VTRS;2:JNJ
Human Resource & Employment Services,16:ADP;11:PAYX;7:DAY;4:PAYC
