Company,MktCap_Growth_Score,Revenue_Growth_Score,Beta_6M_Covariance,Beta_4Y_Covariance,Date_Range
WMB,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
XOM,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
V,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
FOX,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
PKG,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
HSY,0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
EG,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
GILD,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
C,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
GIS,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
RCL,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
INTU,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ACN,0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
APD,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
GOOG,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
AMAT,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
EVRG,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
FANG,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
BX,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CMCSA,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
LRCX,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MHK,-0.26666666666666666,0.0,0.0,0.0,2020-06-30 to 2023-12-31
AIG,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
TPR,-0.26666666666666666,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MDT,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CPB,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
KVUE,0.0,0.0,0.0,0.0,2023-09-30 to 2023-12-31
FDX,-0.26666666666666666,0.0,0.0,0.0,2020-06-30 to 2023-12-31
L,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
GL,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
SWK,-0.16666666666666666,0.0,0.0,0.0,2021-03-31 to 2023-12-31
WRB,0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
TFC,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CMI,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
NTAP,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
EMR,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
KKR,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
SWKS,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
HD,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
SRE,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MCK,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CDW,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
USB,-0.26666666666666666,0.0,0.0,0.0,2020-06-30 to 2023-12-31
TDG,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
QRVO,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
PSX,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
PANW,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ON,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
FE,-0.3333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
